[14-Nov-2015 16:31:58 America/Sao_Paulo] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\modules\curso.class.php on line 52
[14-Nov-2015 16:31:58 America/Sao_Paulo] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\modules\curso.class.php on line 52
[14-Nov-2015 16:32:40 America/Sao_Paulo] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\modules\curso.class.php on line 52
[14-Nov-2015 16:32:40 America/Sao_Paulo] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\modules\curso.class.php on line 52
[14-Nov-2015 16:32:40 America/Sao_Paulo] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\modules\curso.class.php on line 52
[14-Nov-2015 23:42:21 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\site_novo\formandos_gerencial.php on line 199
[15-Nov-2015 13:18:54 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Turma::select_all() in C:\xampp\htdocs\site_novo\formandos_gerencial.php on line 195
[15-Nov-2015 13:59:48 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Curso::all() in C:\xampp\htdocs\site_novo\formandos.php on line 291
[15-Nov-2015 14:00:08 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Curso::all() in C:\xampp\htdocs\site_novo\formandos.php on line 291
[15-Nov-2015 14:00:39 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Curso::all() in C:\xampp\htdocs\site_novo\formandos.php on line 273
[15-Nov-2015 14:01:20 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Turma::all() in C:\xampp\htdocs\site_novo\templates\modal_edit_aluno.php on line 32
[15-Nov-2015 14:01:22 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Curso::all() in C:\xampp\htdocs\site_novo\templates\modal_edit_turma.php on line 37
[15-Nov-2015 14:07:59 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Turma::all() in C:\xampp\htdocs\site_novo\templates\modal_edit_aluno.php on line 32
[15-Nov-2015 14:08:01 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Curso::all() in C:\xampp\htdocs\site_novo\templates\modal_edit_turma.php on line 37
[15-Nov-2015 14:45:30 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Turma::all() in C:\xampp\htdocs\site_novo\templates\modal_edit_aluno.php on line 32
[15-Nov-2015 14:45:35 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Turma::all() in C:\xampp\htdocs\site_novo\templates\modal_insert_aluno.php on line 31
[15-Nov-2015 14:46:22 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Turma::all() in C:\xampp\htdocs\site_novo\templates\modal_edit_aluno.php on line 32
[15-Nov-2015 14:46:25 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Turma::all() in C:\xampp\htdocs\site_novo\templates\modal_insert_aluno.php on line 31
